Time,Count
2018-01-25,4
2018-01-26,4
2018-01-27,5
2018-01-28,3
2018-01-29,1
2018-01-30,1
2018-01-31,1
2018-02-01,3
2018-02-02,4
2018-02-03,0
2018-02-04,2
2018-02-05,5
2018-02-06,7
2018-02-07,2
2018-02-08,19
2018-02-09,15
2018-02-10,12
2018-02-11,4
2018-02-12,8
2018-02-13,2
2018-02-14,7
2018-02-15,1
2018-02-16,0
2018-02-17,0
2018-02-18,1
2018-02-19,2
2018-02-20,19
2018-02-21,18
2018-02-22,2
2018-02-23,3
2018-02-24,4
2018-02-25,6
2018-02-26,4
2018-02-27,1
2018-02-28,2
2018-03-01,1
2018-03-02,2
2018-03-03,0
2018-03-04,1
2018-03-05,3
2018-03-06,1
2018-03-07,0
2018-03-08,2
2018-03-09,1
2018-03-10,0
2018-03-11,2
2018-03-12,0
2018-03-13,3
2018-03-14,4
2018-03-15,1
2018-03-16,9
2018-03-17,3
2018-03-18,2
2018-03-19,5
2018-03-20,4
2018-03-21,0
2018-03-22,1
2018-03-23,4
2018-03-24,0
2018-03-25,0
2018-03-26,1
2018-03-27,3
2018-03-28,6
2018-03-29,5
2018-03-30,4
2018-03-31,4
2018-04-01,1
2018-04-02,4
2018-04-03,3
2018-04-04,2
2018-04-05,9
2018-04-06,4
2018-04-07,2
2018-04-08,8
2018-04-09,1
2018-04-10,3
2018-04-11,2
2018-04-12,4
2018-04-13,0
2018-04-14,1
2018-04-15,1
2018-04-16,1
2018-04-17,3
2018-04-18,14
2018-04-19,13
2018-04-20,3
2018-04-21,5
2018-04-22,3
2018-04-23,4
2018-04-24,13
2018-04-25,6
2018-04-26,8
2018-04-27,7
2018-04-28,4
2018-04-29,4
2018-04-30,4
2018-05-01,2
2018-05-02,2
2018-05-03,3
2018-05-04,1
2018-05-05,3
2018-05-06,49
2018-05-07,40
2018-05-08,9
2018-05-09,1
2018-05-10,1
2018-05-11,1
2018-05-12,2
2018-05-13,0
2018-05-14,0
2018-05-15,1
2018-05-16,0
2018-05-17,0
2018-05-18,3
2018-05-19,0
2018-05-20,0
2018-05-21,5
2018-05-22,1
2018-05-23,3
2018-05-24,2
2018-05-25,1
2018-05-26,0
2018-05-27,0
2018-05-28,0
2018-05-29,1
2018-05-30,7
2018-05-31,1
2018-06-01,0
2018-06-02,3
2018-06-03,5
2018-06-04,1
2018-06-05,0
2018-06-06,2
2018-06-07,2
2018-06-08,3
2018-06-09,4
2018-06-10,19
2018-06-11,11
2018-06-12,3
2018-06-13,3
2018-06-14,3
2018-06-15,4
2018-06-16,4
2018-06-17,3
2018-06-18,0
2018-06-19,0
2018-06-20,6
2018-06-21,2
2018-06-22,5
2018-06-23,5
2018-06-24,5
2018-06-25,3
2018-06-26,3
2018-06-27,4
2018-06-28,3
2018-06-29,2
2018-06-30,0
2018-07-01,1
2018-07-02,1
2018-07-03,8
2018-07-04,7
2018-07-05,8
2018-07-06,12
2018-07-07,6
2018-07-08,9
2018-07-09,16
2018-07-10,6
2018-07-11,3
2018-07-12,0
2018-07-13,11
2018-07-14,5
2018-07-15,2
2018-07-16,3
2018-07-17,6
2018-07-18,4
2018-07-19,3
2018-07-20,1
2018-07-21,1
2018-07-22,1
2018-07-23,0
2018-07-24,2
2018-07-25,4
2018-07-26,31
2018-07-27,26
2018-07-28,3
2018-07-29,2
2018-07-30,1
2018-07-31,7
2018-08-01,3
2018-08-02,4
2018-08-03,1
2018-08-04,1
2018-08-05,0
2018-08-06,3
2018-08-07,9
2018-08-08,11
2018-08-09,16
2018-08-10,10
2018-08-11,6
2018-08-12,3
2018-08-13,1
2018-08-14,9
2018-08-15,21
2018-08-16,45
2018-08-17,26
2018-08-18,16
2018-08-19,4
2018-08-20,16
2018-08-21,36
2018-08-22,21
2018-08-23,14
2018-08-24,11
2018-08-25,21
2018-08-26,18
2018-08-27,9
2018-08-28,8
2018-08-29,4
2018-08-30,4
2018-08-31,9
2018-09-01,1
2018-09-02,4
2018-09-03,7
2018-09-04,8
2018-09-05,2
2018-09-06,2
2018-09-07,5
2018-09-08,4
2018-09-09,12
2018-09-10,0
2018-09-11,0
2018-09-12,8
2018-09-13,10
2018-09-14,2
2018-09-15,8
2018-09-16,6
2018-09-17,2
2018-09-18,4
2018-09-19,7
2018-09-20,5
2018-09-21,12
2018-09-22,3
2018-09-23,1
2018-09-24,1
2018-09-25,4
2018-09-26,3
2018-09-27,0
2018-09-28,0
2018-09-29,0
2018-09-30,14
2018-10-01,3
2018-10-02,1
2018-10-03,1
2018-10-04,1
2018-10-05,0
2018-10-06,1
2018-10-07,0
2018-10-08,0
2018-10-09,2
2018-10-10,2
2018-10-11,1
2018-10-12,1
2018-10-13,1
2018-10-14,2
2018-10-15,3
2018-10-16,2
2018-10-17,0
2018-10-18,6
2018-10-19,7
2018-10-20,2
2018-10-21,12
2018-10-22,12
2018-10-23,131
2018-10-24,183
2018-10-25,63
2018-10-26,53
2018-10-27,20
2018-10-28,3
2018-10-29,5
2018-10-30,16
2018-10-31,5
2018-11-01,3
2018-11-02,3
2018-11-03,1
2018-11-04,3
2018-11-05,1
2018-11-06,5
2018-11-07,2
2018-11-08,6
2018-11-09,3
2018-11-10,4
2018-11-11,2
2018-11-12,6
2018-11-13,12
2018-11-14,6
2018-11-15,1
2018-11-16,2
2018-11-17,2
2018-11-18,2
2018-11-19,11
2018-11-20,5
2018-11-21,6
2018-11-22,6
2018-11-23,5
2018-11-24,13
2018-11-25,9
2018-11-26,6
2018-11-27,3
2018-11-28,3
2018-11-29,9
2018-11-30,33
2018-12-01,10
2018-12-02,11
2018-12-03,4
2018-12-04,8
2018-12-05,13
2018-12-06,5
2018-12-07,3
2018-12-08,4
2018-12-09,4
2018-12-10,2
2018-12-11,4
2018-12-12,5
2018-12-13,12
2018-12-14,10
2018-12-15,4
2018-12-16,0
2018-12-17,0
2018-12-18,2
2018-12-19,3
2018-12-20,2
2018-12-21,4
2018-12-22,7
2018-12-23,18
2018-12-24,0
2018-12-25,0
2018-12-26,3
2018-12-27,4
2018-12-28,5
2018-12-29,3
2018-12-30,2
2018-12-31,2
2019-01-01,1
2019-01-02,1
2019-01-03,4
2019-01-04,3
2019-01-05,1
2019-01-06,0
2019-01-07,1
2019-01-08,6
2019-01-09,9
2019-01-10,30
2019-01-11,8
2019-01-12,2
2019-01-13,3
2019-01-14,7
2019-01-15,1
2019-01-16,16
2019-01-17,36
2019-01-18,33
2019-01-19,27
2019-01-20,10
2019-01-21,25
2019-01-22,66
2019-01-23,63
2019-01-24,63
2019-01-25,84
2019-01-26,90
2019-01-27,105
2019-01-28,111
2019-01-29,212
2019-01-30,216
2019-01-31,193
2019-02-01,171
2019-02-02,94
2019-02-03,55
2019-02-04,80
2019-02-05,62
2019-02-06,79
2019-02-07,144
2019-02-08,81
2019-02-09,156
2019-02-10,337
2019-02-11,395
2019-02-12,106
2019-02-13,198
2019-02-14,162
2019-02-15,97
2019-02-16,79
2019-02-17,68
2019-02-18,67
2019-02-19,50
2019-02-20,42
2019-02-21,21
2019-02-22,28
2019-02-23,34
2019-02-24,37
2019-02-25,41
2019-02-26,55
2019-02-27,97
2019-02-28,60
2019-03-01,51
2019-03-02,36
2019-03-03,26
2019-03-04,70
2019-03-05,357
2019-03-06,215
2019-03-07,124
2019-03-08,77
2019-03-09,96
2019-03-10,54
2019-03-11,36
2019-03-12,44
2019-03-13,41
2019-03-14,37
2019-03-15,11
